X,Y,OBJECTID,GlobalID,GPIN,BuildingName,PID,Address,BuildingID,BuildingStatus,YearBuilt,GFASource,PermitCase,PermitStatus,GFA,DCOOD,OCCDate,BPGFA,EnergovID,CreateUser,CreateDate,LastEditUser,LastEditDate,ApprovedGFA,PermittedGFA,REATaxedGFA,PlanningCaseNumber,PlanningCaseName,PlanCaseEnergovID
11745775.8756758,6975960.29462259,86,{0CF1CEBA-6211-4C6D-A01F-C2DF7EA88248},7497-55-7796,Corscale Gainesville Crossing 4,P240900166,13746 UNIVERSITY BLVD,GCDC4,Pending,,Proffer,BLD2026-04211,Pending,600000,No,,326208,1c21a374-413e-41de-a32f-893ec49d4206,,,RFH7157A,2026/03/10 14:33:08+00,600000,,,REZ2018-00008,GAINESVILLE CROSSING,e84871aa-43c8-4189-9b23-16244c45106e
11744134.1801403,6975675.2614,87,{58F50BE6-EE06-4070-A1E2-214ECEA73186},7497-45-3874,Corscale Gainesville Crossing 2,P221200018,13710 UNIVERSITY BLVD,GCDC2,Under Construction,,Proffer,BLD2023-02498,Issued,600000,No,,480000,bb750b17-4600-4148-8ae8-200e846cb8a8,,,RFH7157A,2026/03/10 14:33:08+00,600000,,482200,REZ2018-00008,GAINESVILLE CROSSING,e84871aa-43c8-4189-9b23-16244c45106e
11756676.6560395,6964803.96522926,88,{EB87F2AE-8684-48D5-AB2A-60CD8F5804FF},7596-64-6285,Iron Mountain Data Center VA-10,P230900019,11451 ELEVATE DR,VA10,Completed,2025,,BLD2024-02696,Finaled,0,Yes,2025/06/26 00:00:00+00,33574,07785d7f-224d-49f2-a795-61db13d15b6b,,,PLANNING,2026/02/26 16:40:06+00,,,33574,,,
11748254.6505738,6968384.56075834,89,{62DB7C0E-FD44-448D-BDE0-3D7A478EF8BB},7496-88-1217,Microsoft Azure MNZ03,P230600481,13060 HANSEN FARM RD,MNZ03,Under Construction,,Proffers,BLD2023-07492,Issued,495709,Yes,,312931,975ee410-8d79-4c4b-97be-8d4562a59b66,,,RFH7157A,2026/02/02 06:04:56+00,,,312931,,,
11748073.8376153,6967975.33847967,90,{5108369B-C77A-46E7-9DC2-6AAAACB82047},7496-88-1217,Microsoft Azure MNZ04,P241000095,13062 HANSEN FARM RD,MNZ04,Planned,,Proffers,<Null>,Planned,495709,Yes,,,,,,RFH7157A,2026/02/02 06:04:56+00,,,,,,
11747958.033713,6967626.34147425,91,{D63187E2-33AC-495F-89A0-6CA3815F29DA},7496-88-1217,Microsoft Azure MNZ05,P241000096,13064 HANSEN FARM RD,MNZ05,Planned,,Proffers,<Null>,Planned,495709,Yes,,,,,,RFH7157A,2026/02/02 06:04:56+00,,,,,,
11747807.3306023,6967299.55341393,92,{4CBF5ECF-0188-4F2A-8D5C-DBE553ED881B},7496-88-1217,Microsoft Azure MNZ06,P241000097,13066 HANSEN FARM RD,MNZ06,Planned,,Proffers,<Null>,Planned,495709,Yes,,,,,,RFH7157A,2026/02/02 06:04:56+00,,,,,,
11744554.2399957,6966944.7217745,93,{E41E2C6F-BFA7-469D-A6EC-1033683DCB8A},7496-47-2405,Yondr Bristow Campus Building 1,P934364181,13051 ROLLINS FORD RD,1,Under Construction,,,BLD2022-03616,Issued,0,Yes,,324580,e40da1c9-fa6a-49d7-94cd-085ed48b5caf,,,RFH7157A,2026/02/02 03:40:53+00,,,,,,
11743840.4855177,6966602.81530608,94,{7BFBB655-7B13-4A0D-8B34-D2EF41006E5C},7496-47-2405,Yondr Bristow Campus Building 2,P220700501,13085 ROLLINS FORD RD,2,Completed,2025,,BLD2023-01345,Finaled,0,Yes,2025/06/24 00:00:00+00,288530,747220f2-0b31-4b69-b011-f6a5a892ce94,,,PLANNING,2026/02/26 16:40:06+00,,,288530,,,
11743549.9460725,6968130.43331383,95,{53E64FD6-6EEA-4BA6-B689-F2F2DB7BE8DA},7496-47-2405,Yondr Bristow Campus Building 3,P221100005,13040 ROLLINS FORD RD,3,Under Construction,,,BLD2023-04428,Issued,0,Yes,,288530,d8c38528-a24b-4fd6-9cd3-f9e9d7847a67,,,RFH7157A,2026/02/02 03:45:47+00,,,288530,,,
